Fruit,Nut,Almond,שקד
Fruit,Tree,Apple,תפוח
Fruit,Tree,Cherry,דובדבן
Fruit,Citrus,Clementine,קלמנטינה
Veg,Seed,Corn,תירס
Fruit,Tropic,Date,תמר
Veg,Root,Garlic,שום
Fruit,Tropic,Kiwi,קיווי
Veg,Leaf,Lettuce,חסה
Other,Fungus,Mushroom,פטרייה
Veg,Root,Onion,בצל
Fruit,Bush,Strawberry,תות
Veg,Fruit,Tomato,עגבניה
Veg,Tree,Avocado,אבוקדו
Fruit,Nut,Walnut,אגוז מלך
Fruit,Bush,Melon,מלון
Veg,Tree,Olive,זית
Veg,Flower,Broccoli,ברוקולי
Fruit,Tree,Plum,שזיף
Fruit,Tropic,Pineapple,אננס
Veg,Root,Carrot,גזר
Fruit,Tree,Grape,ענבים
Veg,Fruit,Aubergine,חציל
Fruit,Tree,Apricot,משמש
Fruit,Bush,Watermelon,אבטיח
Fruit,Citrus,Lemon,לימון
Veg,Fruit,Cucumber,מלפפון
Fruit,Tropic,Banana,בננה
Fruit,Tropic,Guava,גויבה
Veg,Leaf,Cabbage,כרוב
Fruit,Tropic,Mango,מנגו
Fruit,Tree,Peach,אפרסק
Fruit,Citrus,Orange,תפוז
Fruit,Tree,Pear,אגס
Veg,Fruit,Pepper,פלפל
Veg,Tuber,Potato,תפוח אדמה
