measures:tbsp,cup,tsp,recipe_measure:oil , 15
measures:tbsp,recipe_measure:glass , 23
measures:cup,sprigs,recipe_measure:Cup , 1
measures:tbsp,cup,recipe_measure:parsley , 14
measures:leaves,tbsp,recipe_measure:peppermint , 2
measures:cup,tsp,clove,cloves,recipe_measure:piece , 3
measures:cup,recipe_measure:small , 11
measures:cup,tsp,clove,cloves,recipe_measure:glove , 2
measures:cup,tsp,clove,cloves,recipe_measure:garlic , 3
measures:tbsp,cup,tsp,recipe_measure:vinegar , 1
measures:cup,recipe_measure:Cup , 4
measures:cup,recipe_measure:large , 18
measures:slice,recipe_measure:glass , 1
measures:oz,recipe_measure:egg , 2
measures:tsp,tbsp,cup,dash,recipe_measure:pinch , 40
measures:oz,recipe_measure:glass , 36
measures:oz,piece,recipe_measure:package , 2
measures:tbsp,cup,recipe_measure:Cup , 3
measures:cup,recipe_measure:jar , 1
measures:cup,sprigs,recipe_measure:coriander , 4
measures:cup,recipe_measure:lg , 1
measures:tsp,tbsp,recipe_measure:paprika , 4
measures:cup,recipe_measure:can , 7
measures:piece,recipe_measure:block , 1
measures:cup,recipe_measure:spinach , 5
measures:pepper,recipe_measure:large , 1
measures:oz,recipe_measure:large , 108
measures:cup,tsp,clove,cloves,recipe_measure:large , 1
measures:leaves,tbsp,recipe_measure:pinch , 1
measures:cup,recipe_measure:box , 3
measures:oz,recipe_measure:each , 9
measures:cup,recipe_measure:medium , 11
measures:tbsp,cup,recipe_measure:sauce , 5
measures:tsp,tbsp,recipe_measure:glass , 15
measures:oz,recipe_measure:shrimp , 1
measures:tbsp,recipe_measure:vegetable , 2
measures:tbsp,cup,recipe_measure:package , 1
measures:cup,recipe_measure:package , 8
measures:cup,recipe_measure:piece , 1
measures:tbsp,cup,recipe_measure:hamburger , 1
measures:tsp,tbsp,recipe_measure:small , 4
measures:tsp,tbsp,recipe_measure:sage , 1
measures:tbsp,cup,recipe_measure:mayonnaise , 4
