measures:tbsp,cup,tsp,recipe_measure:oil , 39
measures:tsp,tbsp,recipe_measure:piece , 41
measures:oz,recipe_measure:handful , 8
measures:tsp,tbsp,recipe_measure:whole , 25
measures:cup,recipe_measure:small , 312
measures:cup,sprigs,recipe_measure:Cup , 1
measures:tbsp,recipe_measure:glass , 1376
measures:cup,tsp,clove,cloves,recipe_measure:glove , 4
measures:cup,recipe_measure:noodle , 23
measures:oz,recipe_measure:small , 41
measures:oz,recipe_measure:tuna , 4
measures:tbsp,cup,recipe_measure:parsley , 87
measures:cup,recipe_measure:pea , 3
measures:cup,tsp,clove,cloves,recipe_measure:garlic , 18
measures:tbsp,cup,tsp,recipe_measure:vinegar , 4
measures:cup,recipe_measure:spinach , 33
measures:cup,recipe_measure:large , 476
measures:slice,recipe_measure:glass , 3
measures:oz,recipe_measure:egg , 1138
measures:tsp,tbsp,cup,dash,recipe_measure:pinch , 1683
measures:cup,tsp,clove,cloves,recipe_measure:piece , 13
measures:oz,piece,recipe_measure:package , 34
measures:cup,recipe_measure:jar , 8
measures:oz,recipe_measure:glass , 2054
measures:tbsp,cup,recipe_measure:Cup , 12
measures:cup,sprigs,recipe_measure:coriander , 36
measures:tsp,tbsp,recipe_measure:turmeric , 2
measures:cup,recipe_measure:lg , 3
measures:cup,recipe_measure:can , 306
measures:cup,sprigs,recipe_measure:leave , 4
measures:piece,recipe_measure:block , 17
measures:tbsp,cup,tsp,recipe_measure:coconut , 2
measures:tsp,tbsp,recipe_measure:ginger , 7
measures:tbsp,cup,recipe_measure:mayonnaise , 51
measures:pepper,recipe_measure:large , 20
measures:oz,piece,recipe_measure:chicken , 61
measures:oz,recipe_measure:large , 3448
measures:cup,tsp,clove,cloves,recipe_measure:head , 53
measures:cup,recipe_measure:box , 166
measures:leaves,tbsp,recipe_measure:pinch , 4
measures:tsp,tbsp,recipe_measure:pinch , 903
measures:oz,chop,recipe_measure:package , 3
measures:serving,recipe_measure:slice , 436
measures:cup,tsp,clove,cloves,recipe_measure:large , 4
measures:oz,chop,recipe_measure:each , 4
measures:tsp,tbsp,cup,dash,recipe_measure:each , 8
measures:oz,recipe_measure:each , 36
measures:tsp,tbsp,recipe_measure:large , 89
measures:oz,piece,recipe_measure:glass , 243
measures:cup,recipe_measure:piece , 24
